session,bar_ix,headline,company,sentiment,sentiment_score,confidence
6,61,Halvix Holdings reports 8% increase in customer acquisition,Halvix,buy,0.9331,0.9507
6,66,Holtar Stores signs multi-year partnership with a global retailer,Holtar,buy,0.9181,0.9281
6,74,Halvix Holdings faces regulatory review of automated logistics practices,Halvix,sell,-0.5673,0.5925
6,82,Nolvav Commerce achieves key regulatory milestone ahead of schedule,Nolvav,buy,0.8919,0.9014
7,60,Joval Brands revises long-term strategy with focus on precision manufacturing,Joval,buy,0.1775,0.8008
7,61,Brevep Systems reports 25% increase in customer acquisition,Brevep,buy,0.9389,0.9532
7,71,Myrnep Technologies announces breakthrough in cloud infrastructure,Myrnep,buy,0.5668,0.5826
7,75,Frelol Software announces $9.6B share buyback program,Frelol,buy,0.0403,0.8271
7,77,Myrnep Technologies faces regulatory review of precision manufacturing practices,Myrnep,sell,-0.5281,0.5578
7,80,Brevep Systems reports unexpected decline in Europe revenue,Brevep,sell,-0.9621,0.9756
7,85,Frelol Software begins scheduled maintenance of cloud infrastructure systems,Frelol,buy,0.0238,0.9333
7,87,Brevep Systems reports 3% decline in operating income,Brevep,sell,-0.9657,0.9745
8,54,Ervan Capital secures $50M contract with a national infrastructure agency,Ervan,buy,0.9326,0.9452
8,59,Plevum Partners names new head of cloud infrastructure division,Plevum,buy,0.0415,0.9133
8,59,Plevum Partners secures $400M contract with a multinational manufacturer,Plevum,buy,0.9136,0.9228
8,66,Ervan Capital revises long-term strategy with focus on process automation,Ervan,buy,0.1409,0.8364
8,73,Ilval Financial reports unexpected decline in North America revenue,Ilval,sell,-0.9628,0.9751
8,83,Ervan Capital expands operations into Southeast Asia markets,Ervan,buy,0.8949,0.9023
8,89,Plevyl Advisors loses key contract in Europe to competitor,Plevyl,sell,-0.9249,0.9492
8,97,Ilval Financial recalls products in automated logistics line due to quality concerns,Ilval,sell,-0.9604,0.9675
9,51,Relvon Fuels secures $120M contract with a national infrastructure agency,Relvon,buy,0.9353,0.9478
10,57,Zelvix Therapeutics begins scheduled maintenance of wireless connectivity systems,Zelvix,buy,0.1933,0.7791
10,58,"Kelvos Resources reports strong demand in Scandinavia, raises outlook",Kelvos,buy,0.9347,0.9531
10,63,Kelvos Resources reports rising costs pressuring margins in automated logistics,Kelvos,sell,-0.9165,0.9523
10,68,Kelvos Resources faces class action over precision manufacturing service disruption,Kelvos,sell,-0.9064,0.9212
10,80,Myrnon Therapeutics announces significant capital expenditure plan for Scandinavia,Myrnon,buy,0.8781,0.8966
10,85,Zelvix Therapeutics signs multi-year partnership with a major logistics provider,Zelvix,buy,0.9306,0.9446
10,87,Zelvix Therapeutics to present at Annual Industry Forum,Zelvix,buy,0.0266,0.9402
10,91,Frelis Genomics sees mixed results in wireless connectivity pilot program,Frelis,sell,-0.9347,0.9537
11,56,Zrovum Biopharma wins industry award for excellence in process automation,Zrovum,buy,0.9272,0.9398
11,64,Wyrnik Sciences reports 10% increase in customer acquisition,Wyrnik,buy,0.9398,0.9543
11,64,"Yorval Partners reports record quarterly revenue, up 3% year-over-year",Yorval,buy,0.9362,0.9563
11,73,Zrovum Biopharma expands operations into Asia Pacific markets,Zrovum,buy,0.8918,0.9012
11,77,Wyrnik Sciences reports rising costs pressuring margins in automated logistics,Wyrnik,sell,-0.8944,0.9404
11,77,Wyrnik Sciences opens new office in Latin America,Wyrnik,buy,0.2794,0.7
11,83,Wyrnik Sciences launches next-generation precision manufacturing platform,Wyrnik,buy,0.3586,0.6228
11,83,Wyrnik Sciences enters joint venture with a major logistics provider,Wyrnik,buy,0.8743,0.883
11,87,Yorval Partners recalls products in supply chain optimization line due to quality concerns,Yorval,sell,-0.957,0.9649
13,61,Dralol Computing enters joint venture with a global retailer,Dralol,buy,0.8059,0.8141
13,74,Halven Investments enters joint venture with an international consortium,Halven,buy,0.7239,0.7324
13,76,Jorvyl Securities reports unexpected decline in Central Europe revenue,Jorvyl,sell,-0.9433,0.967
13,79,Dralol Computing announces breakthrough in cloud infrastructure,Dralol,buy,0.6222,0.6396
13,94,Dralol Computing withdraws from Central Europe market citing unfavorable conditions,Dralol,sell,-0.9482,0.9575
13,98,Jorvyl Securities launches next-generation process automation platform,Jorvyl,buy,0.2237,0.757
14,50,Frelis Genomics names new head of enterprise software division,Frelis,buy,0.025,0.9065
14,50,Frelis Genomics announces significant capital expenditure plan for Scandinavia,Frelis,buy,0.8233,0.838
14,60,Grevel Diagnostics expands operations into Latin America markets,Grevel,buy,0.8589,0.8696
14,62,Wyrnik Sciences reports 25% decline in operating income,Wyrnik,sell,-0.9663,0.9743
14,63,Grevel Diagnostics delays product launch in precision manufacturing segment,Grevel,sell,-0.8532,0.8689
14,63,Grevel Diagnostics reports 15% decline in operating income,Grevel,sell,-0.9662,0.9748
14,66,Frelis Genomics names new head of data analytics division,Frelis,buy,0.0311,0.9057
14,70,Xelvol Biotech announces major organizational restructuring,Xelvol,sell,-0.8035,0.8412
14,71,Frelis Genomics delays product launch in automated logistics segment,Frelis,sell,-0.8014,0.8178
14,84,Xelvol Biotech secures $75M contract with a global retailer,Xelvol,buy,0.9333,0.9463
14,85,Xelvol Biotech reports 12% decline in operating income,Xelvol,sell,-0.9669,0.9749
14,99,Grevel Diagnostics faces regulatory review of wireless connectivity practices,Grevel,sell,-0.4027,0.5341
15,54,Nolvol Resources secures $400M contract with a leading cloud platform,Nolvol,buy,0.9335,0.9443
15,64,Myrnep Technologies secures $800M contract with an international consortium,Myrnep,buy,0.9189,0.9283
15,66,Nolvol Resources reports 15% decline in operating income,Nolvol,sell,-0.9673,0.9753
15,66,Ulvon Renewables secures $75M contract with an international consortium,Ulvon,buy,0.9315,0.9419
15,67,Nolvol Resources reports 12% decline in operating income,Nolvol,sell,-0.9672,0.9751
15,73,Nolvol Resources opens new office in Central Europe,Nolvol,buy,0.213,0.7659
15,75,Plevep Power enters joint venture with a major logistics provider,Plevep,buy,0.9055,0.9163
15,77,Plevep Power secures $650M contract with an international consortium,Plevep,buy,0.928,0.9388
15,82,Myrnep Technologies lowers full-year guidance amid softening demand,Myrnep,sell,-0.9545,0.9681
15,85,Ulvon Renewables confirms participation in Capital Markets Day,Ulvon,buy,0.2496,0.7362
16,50,Myrnep Technologies misses quarterly revenue estimates by 18%,Myrnep,sell,-0.9537,0.9647
16,57,Myrnep Technologies opens new office in Middle East,Myrnep,buy,0.3454,0.629
16,73,Relvon Fuels signs multi-year partnership with an international consortium,Relvon,buy,0.9187,0.9289
16,74,Myrnep Technologies sees 7% drop in new customer orders this quarter,Myrnep,sell,-0.9661,0.9751
17,53,Zrovex Industries begins scheduled maintenance of process automation systems,Zrovex,buy,0.0439,0.9129
17,62,Relvon Fuels warns of supply chain disruptions affecting Middle East operations,Relvon,sell,-0.9391,0.9542
17,77,Jorvix Diagnostics revises long-term strategy with focus on renewable storage,Jorvix,buy,0.2655,0.7127
17,77,"Wyrnor Solutions reports record quarterly revenue, up 10% year-over-year",Wyrnor,buy,0.9385,0.9578
17,81,Wyrnor Solutions announces $3.8B share buyback program,Wyrnor,buy,0.0754,0.8846
17,88,Relvon Fuels recalls products in precision manufacturing line due to quality concerns,Relvon,sell,-0.9583,0.9656
18,64,Kelvos Resources misses quarterly revenue estimates by 15%,Kelvos,sell,-0.9406,0.9576
18,64,Nerven Grid launches next-generation data analytics platform,Nerven,buy,0.1556,0.8251
18,65,Nerven Grid withdraws from Scandinavia market citing unfavorable conditions,Nerven,sell,-0.9499,0.9583
18,67,Strynal Industries expands operations into Central Europe markets,Strynal,buy,0.7998,0.8083
18,69,Crevex Labs explores strategic alternatives for process automation unit,Crevex,buy,0.2071,0.776
18,80,Kelvos Resources wins industry award for excellence in process automation,Kelvos,buy,0.9205,0.9318
18,88,Strynal Industries expands operations into Middle East markets,Strynal,buy,0.7651,0.7751
18,90,Crevex Labs begins scheduled maintenance of process automation systems,Crevex,buy,0.0473,0.9062
18,90,Kelvos Resources withdraws from Europe market citing unfavorable conditions,Kelvos,sell,-0.9518,0.9607
18,91,Strynal Industries announces breakthrough in renewable storage,Strynal,buy,0.7506,0.7626
18,99,Strynal Industries recalls products in supply chain optimization line due to quality concerns,Strynal,sell,-0.9584,0.9663
19,55,Plevik Energy reports rising costs pressuring margins in supply chain optimization,Plevik,sell,-0.465,0.7233
19,61,Relvon Fuels secures $120M contract with a global retailer,Relvon,buy,0.9356,0.9479
19,62,Relvon Fuels reports unexpected decline in Europe revenue,Relvon,sell,-0.9533,0.9721
19,68,Orevex Renewables announces $5.7B share buyback program,Orevex,buy,0.218,0.7404
19,73,Orevex Renewables expands operations into Southeast Asia markets,Orevex,buy,0.9067,0.9152
19,83,Plevik Energy delays product launch in cloud infrastructure segment,Plevik,sell,-0.8094,0.8277
19,84,Relvon Fuels faces regulatory review of renewable storage practices,Relvon,sell,-0.2806,0.6422
19,90,Zrovum Biopharma revises long-term strategy with focus on renewable storage,Zrovum,buy,0.5149,0.5251
20,80,"Halvax Networks reports record quarterly revenue, up 18% year-over-year",Halvax,buy,0.9364,0.957
20,80,Nolvol Resources secures $320M contract with an international consortium,Nolvol,buy,0.9125,0.9216
20,85,Ixenix Technologies to present at Emerging Markets Forum,Ixenix,buy,0.0645,0.914
20,86,Ixenix Technologies to host investor day focused on digital payments strategy,Ixenix,buy,0.1086,0.8718
20,94,Ixenix Technologies secures $800M contract with an international consortium,Ixenix,buy,0.9207,0.9305
21,57,Talvyn Goods signs multi-year partnership with a top-tier research institute,Talvyn,buy,0.8963,0.9043
21,71,Talvyn Goods secures $120M contract with a global retailer,Talvyn,buy,0.9358,0.951
21,71,Talvyn Goods secures $320M contract with a global retailer,Talvyn,buy,0.9355,0.95
21,76,Arnos Marketplace names new head of enterprise software division,Arnos,buy,0.0036,0.9082
21,88,Varvov Retail Group sees 15% drop in new customer orders this quarter,Varvov,sell,-0.9674,0.9757
21,93,Arnos Marketplace reports 8% decline in operating income,Arnos,sell,-0.966,0.9745
21,94,Varvov Retail Group delays product launch in wireless connectivity segment,Varvov,sell,-0.9169,0.9263
21,96,Talvyn Goods signs multi-year partnership with a multinational manufacturer,Talvyn,buy,0.8974,0.9055
22,55,Plevum Partners secures $400M contract with a multinational manufacturer,Plevum,buy,0.9136,0.9228
22,59,Plevik Energy to host investor day focused on precision manufacturing strategy,Plevik,buy,0.1021,0.8752
22,61,Plevum Partners withdraws from Middle East market citing unfavorable conditions,Plevum,sell,-0.9519,0.9615
22,66,Plevum Partners secures $650M contract with a global retailer,Plevum,buy,0.931,0.943
22,72,Halven Investments secures $650M contract with a national infrastructure agency,Halven,buy,0.9333,0.9459
22,83,Wrelal Financial signs multi-year partnership with a national infrastructure agency,Wrelal,buy,0.9128,0.9225
22,90,Halven Investments publishes annual sustainability report,Halven,buy,0.0047,0.9418
22,93,Halven Investments reports 3% increase in customer acquisition,Halven,buy,0.9348,0.9488
22,94,Plevik Energy announces breakthrough in automated logistics,Plevik,buy,0.6517,0.6663
23,57,Nolvav Commerce delays product launch in process automation segment,Nolvav,sell,-0.9147,0.9244
23,61,Nolvav Commerce secures $120M contract with a multinational manufacturer,Nolvav,buy,0.9315,0.942
23,62,Kelvos Resources misses quarterly revenue estimates by 7%,Kelvos,sell,-0.9395,0.9576
23,64,Kelvos Resources secures $500M contract with a national infrastructure agency,Kelvos,buy,0.9311,0.9423
23,77,Kelvos Resources explores strategic alternatives for supply chain optimization unit,Kelvos,buy,0.1943,0.7886
23,87,Kelvos Resources withdraws from Latin America market citing unfavorable conditions,Kelvos,sell,-0.9532,0.9624
23,87,Holtar Stores withdraws from Southeast Asia market citing unfavorable conditions,Holtar,sell,-0.9592,0.9679
23,89,Kelvos Resources enters joint venture with a global retailer,Kelvos,buy,0.8293,0.8378
23,90,Nolvav Commerce revises long-term strategy with focus on enterprise software,Nolvav,buy,0.1564,0.8196
24,62,Crevex Labs confirms participation in Global Innovation Summit,Crevex,buy,0.8962,0.9047
24,70,"Frelol Software reports record quarterly revenue, up 12% year-over-year",Frelol,buy,0.9361,0.957
25,57,Talvep Computing files routine patent applications in precision manufacturing,Talvep,sell,-0.0081,0.9376
25,59,Brevep Systems misses quarterly revenue estimates by 7%,Brevep,sell,-0.9375,0.9542
25,59,Frelol Software faces class action over renewable storage service disruption,Frelol,sell,-0.9339,0.946
25,63,Brevep Systems secures $250M contract with a national infrastructure agency,Brevep,buy,0.9346,0.9474
25,70,Brevep Systems delays product launch in automated logistics segment,Brevep,sell,-0.8973,0.9088
25,73,"Talvep Computing reports record quarterly revenue, up 25% year-over-year",Talvep,buy,0.9377,0.9575
25,75,Frelol Software to present at Corporate Strategy Symposium,Frelol,buy,0.0615,0.9157
25,85,Brevep Systems secures $650M contract with a global retailer,Brevep,buy,0.935,0.9483
25,91,Frelol Software warns of supply chain disruptions affecting Latin America operations,Frelol,sell,-0.943,0.9573
25,92,Ixenix Technologies completes planned facility upgrade in Middle East,Ixenix,buy,0.8631,0.8748
25,95,Brevep Systems withdraws from Asia Pacific market citing unfavorable conditions,Brevep,sell,-0.9575,0.9662
25,96,Talvep Computing secures $800M contract with a leading cloud platform,Talvep,buy,0.9339,0.9449
26,53,Holtum Asset Group announces $1.2B share buyback program,Holtum,buy,0.0523,0.8893
26,57,Jorval Trading Co launches next-generation enterprise software platform,Jorval,buy,0.258,0.7225
27,58,Grevel Diagnostics faces class action over digital payments service disruption,Grevel,sell,-0.9099,0.9229
27,62,Orevex Renewables to present at Capital Markets Day,Orevex,buy,0.0241,0.9458
27,67,Nerven Grid Chief Strategy Officer steps down unexpectedly citing personal reasons,Nerven,sell,-0.9003,0.9089
27,71,Grevel Diagnostics secures $400M contract with a national infrastructure agency,Grevel,buy,0.9338,0.9465
27,77,Orevex Renewables revises long-term strategy with focus on supply chain optimization,Orevex,buy,0.2126,0.7643
27,80,Relvon Fuels completes strategic acquisition to strengthen digital payments,Relvon,buy,0.9028,0.9115
27,81,Grevel Diagnostics announces $2.5B share buyback program,Grevel,buy,0.0398,0.8958
27,85,Nerven Grid announces significant capital expenditure plan for North America,Nerven,buy,0.8446,0.8637
27,89,Relvon Fuels delays product launch in cloud infrastructure segment,Relvon,sell,-0.8759,0.8896
27,91,Relvon Fuels sees 10% drop in new customer orders this quarter,Relvon,sell,-0.9651,0.9747
28,51,Jovik Asset Group names new head of data analytics division,Jovik,buy,0.005,0.9037
28,51,Jovik Asset Group completes planned facility upgrade in Southeast Asia,Jovik,buy,0.8725,0.8856
28,61,Jovik Asset Group files for regulatory approval of new digital payments offering,Jovik,buy,0.0393,0.8837
28,61,Zelvel Capital sees mixed results in supply chain optimization pilot program,Zelvel,sell,-0.933,0.9529
28,63,Plevum Partners explores strategic alternatives for data analytics unit,Plevum,buy,0.2586,0.7263
28,74,Plevum Partners secures $180M contract with a major logistics provider,Plevum,buy,0.9355,0.9504
28,74,Zelvel Capital opens new office in Scandinavia,Zelvel,buy,0.1365,0.8402
29,51,Nerval Biopharma confirms participation in Annual Industry Forum,Nerval,buy,0.2988,0.6834
29,52,Ixenix Technologies secures $800M contract with a major logistics provider,Ixenix,buy,0.9343,0.9475
29,54,Nerval Biopharma launches next-generation wireless connectivity platform,Nerval,buy,0.3689,0.6125
29,55,Talvep Computing secures $400M contract with an international consortium,Talvep,buy,0.922,0.9318
29,58,Prynis Systems secures $320M contract with an international consortium,Prynis,buy,0.9221,0.9314
29,60,Ixenix Technologies secures $650M contract with a national infrastructure agency,Ixenix,buy,0.9314,0.9428
30,52,Dralol Computing announces significant capital expenditure plan for North America,Dralol,buy,0.8853,0.9013
30,54,Dralol Computing loses key contract in Southeast Asia to competitor,Dralol,sell,-0.9366,0.9589
30,60,Dralol Computing begins scheduled maintenance of automated logistics systems,Dralol,buy,0.0988,0.872
30,66,Dralol Computing announces major organizational restructuring,Dralol,sell,-0.372,0.4785
30,70,Jorvyl Securities withdraws from North America market citing unfavorable conditions,Jorvyl,sell,-0.9581,0.9664
30,79,Yorven Labs wins industry award for excellence in data analytics,Yorven,buy,0.9047,0.9167
30,84,Jorvyl Securities warns of supply chain disruptions affecting North America operations,Jorvyl,sell,-0.9508,0.9625
30,89,Dralol Computing faces class action over enterprise software service disruption,Dralol,sell,-0.9323,0.945
31,52,Frelol Software reports 10% decline in operating income,Frelol,sell,-0.9662,0.9749
31,67,Frelol Software withdraws from Southeast Asia market citing unfavorable conditions,Frelol,sell,-0.9581,0.9663
31,75,Yorven Labs reports rising costs pressuring margins in renewable storage,Yorven,sell,-0.716,0.846
31,95,Yorven Labs to host investor day focused on cloud infrastructure strategy,Yorven,buy,0.1131,0.8649
31,96,Frelol Software reports 15% increase in customer acquisition,Frelol,buy,0.9354,0.9525
31,97,Frelol Software completes strategic acquisition to strengthen process automation,Frelol,buy,0.9175,0.9293
32,52,Zelval Energy announces $0.8B share buyback program,Zelval,buy,0.1005,0.843
32,53,Zelval Energy sees 25% drop in new customer orders this quarter,Zelval,sell,-0.9661,0.9751
32,53,Nolvol Resources confirms participation in Annual Industry Forum,Nolvol,buy,0.7245,0.7336
32,58,Nolvol Resources reports rising costs pressuring margins in supply chain optimization,Nolvol,sell,-0.8535,0.9205
32,60,"Nolvol Resources reports record quarterly revenue, up 15% year-over-year",Nolvol,buy,0.9375,0.9578
33,54,Joval Brands begins scheduled maintenance of digital payments systems,Joval,buy,0.0706,0.9025
33,55,Xelvol Biotech withdraws from Middle East market citing unfavorable conditions,Xelvol,sell,-0.9522,0.9633
33,61,Jorval Trading Co withdraws from Europe market citing unfavorable conditions,Jorval,sell,-0.9519,0.9601
33,64,Jorval Trading Co confirms participation in Global Innovation Summit,Jorval,buy,0.9075,0.9172
33,71,Arnik Commerce sees mixed results in supply chain optimization pilot program,Arnik,sell,-0.9023,0.9321
33,71,Xelvol Biotech secures $320M contract with a leading cloud platform,Xelvol,buy,0.9331,0.945
33,74,Xelvol Biotech wins industry award for excellence in supply chain optimization,Xelvol,buy,0.9241,0.9361
33,80,Xelvol Biotech sees mixed results in wireless connectivity pilot program,Xelvol,sell,-0.9043,0.9388
33,90,Joval Brands signs multi-year partnership with a leading cloud platform,Joval,buy,0.9047,0.9128
33,91,Jorval Trading Co secures $50M contract with a global retailer,Jorval,buy,0.9343,0.9497
33,99,Xelvol Biotech names new head of automated logistics division,Xelvol,buy,0.0316,0.8989
34,51,Jorvis Fuels launches next-generation wireless connectivity platform,Jorvis,buy,0.271,0.7132
34,55,"Kelvos Resources reports strong demand in Scandinavia, raises outlook",Kelvos,buy,0.9347,0.9531
34,58,Jorvis Fuels faces class action over digital payments service disruption,Jorvis,sell,-0.9108,0.9225
34,69,Frelol Software secures $75M contract with a national infrastructure agency,Frelol,buy,0.9318,0.9446
34,69,Plevik Energy warns of supply chain disruptions affecting North America operations,Plevik,sell,-0.9484,0.9604
34,77,Kelvos Resources loses key contract in Europe to competitor,Kelvos,sell,-0.9352,0.9546
34,80,Frelol Software sees 3% drop in new customer orders this quarter,Frelol,sell,-0.966,0.975
34,87,Kelvos Resources reports 18% decline in operating income,Kelvos,sell,-0.9669,0.9746
34,87,Kelvos Resources secures $75M contract with a top-tier research institute,Kelvos,buy,0.9277,0.9385
34,90,Frelol Software faces class action over cloud infrastructure service disruption,Frelol,sell,-0.9454,0.9568
34,94,Plevik Energy reports 10% increase in customer acquisition,Plevik,buy,0.9375,0.9536
35,51,Talvep Computing files for regulatory approval of new data analytics offering,Talvep,buy,0.1978,0.7614
35,64,Wyrnik Sciences begins scheduled maintenance of wireless connectivity systems,Wyrnik,buy,0.1177,0.8593
35,78,Wyrnik Sciences announces $4.1B share buyback program,Wyrnik,buy,0.0517,0.9108
35,83,Talvep Computing loses key contract in Asia Pacific to competitor,Talvep,sell,-0.9321,0.9562
35,87,Myrnon Therapeutics launches next-generation cloud infrastructure platform,Myrnon,buy,0.3474,0.6332
35,93,Talvep Computing reports rising costs pressuring margins in cloud infrastructure,Talvep,sell,-0.9236,0.9559
35,99,Talvep Computing withdraws from Southeast Asia market citing unfavorable conditions,Talvep,sell,-0.9546,0.9633
36,54,Jovor Networks delays product launch in enterprise software segment,Jovor,sell,-0.8622,0.8753
36,85,Ulvyn Microchips explores strategic alternatives for cloud infrastructure unit,Ulvyn,buy,0.1983,0.7853
36,89,"Ulvyn Microchips reports record quarterly revenue, up 18% year-over-year",Ulvyn,buy,0.9375,0.9574
37,57,Volval Devices sees 25% margin improvement in latest quarter,Volval,buy,0.9404,0.9581
37,62,Myrnep Technologies secures $400M contract with a national infrastructure agency,Myrnep,buy,0.9308,0.942
37,68,Myrnep Technologies loses key contract in Southeast Asia to competitor,Myrnep,sell,-0.9316,0.9549
37,70,"Frelol Software reports record quarterly revenue, up 5% year-over-year",Frelol,buy,0.9357,0.9567
37,72,Frelol Software sees 20% margin improvement in latest quarter,Frelol,buy,0.9368,0.9565
37,80,Frelol Software completes planned facility upgrade in Middle East,Frelol,buy,0.8351,0.849
37,89,Myrnep Technologies misses quarterly revenue estimates by 5%,Myrnep,sell,-0.9512,0.9636
37,93,Calvis Sciences secures $650M contract with a leading cloud platform,Calvis,buy,0.935,0.9451
38,54,Nolvol Resources files for regulatory approval of new supply chain optimization offering,Nolvol,buy,0.3574,0.6178
38,57,Nolvol Resources completes planned facility upgrade in Latin America,Nolvol,buy,0.8493,0.8602
38,58,Zelval Energy opens new office in Middle East,Zelval,buy,0.2384,0.7373
38,64,Orevov Solutions withdraws from Southeast Asia market citing unfavorable conditions,Orevov,sell,-0.9578,0.9661
38,69,Nolvol Resources secures $120M contract with a major logistics provider,Nolvol,buy,0.9358,0.9494
38,87,Orevov Solutions misses quarterly revenue estimates by 3%,Orevov,sell,-0.9536,0.9652
39,51,Brevep Systems sees 12% margin improvement in latest quarter,Brevep,buy,0.9387,0.9575
39,63,"Brevep Systems reports record quarterly revenue, up 8% year-over-year",Brevep,buy,0.9362,0.957
39,75,Brevep Systems loses key contract in North America to competitor,Brevep,sell,-0.9398,0.9595
